"Study","logOR","SE","N","OR","CI_low","CI_high","Weight"
"Blinder 2012a",-0.36,0.26,256,0.7,0.42,1.16,32.9
"Bouknight 2006b",-0.21,0.29,416,0.81,0.46,1.43,30.2
"Johnsson 2007c",0.71,0.43,222,2.03,0.88,4.72,20
"Rosenberg 2019a",0.44,0.49,772,1.55,0.59,4.06,16.9
