"Study","logOR","SE","N","OR","CI_low","CI_high","Weight"
"Blinder 2012a",-0.041,0.027,251,0.96,0.91,1.01,18.9
"Bouknight 2006b",-0.041,0.0185,404,0.96,0.93,1,40.3
"Bradley 2014c",-0.03,0.021,548,0.97,0.93,1.01,31.3
"Noeres 2013a",-0.062,0.038,130,0.94,0.87,1.01,9.5
