"Study","logOR","SE","N","OR","CI_low","CI_high","Weight"
"Blinder 2012a",-0.844,0.654,251,0.43,0.12,1.55,12.3
"Bradley 2014b",-0.139,0.407,548,0.87,0.39,1.93,31.7
"Johnsson 2007c",-0.223,0.673,217,0.8,0.21,2.99,11.6
"Noeres 2013b",-0.571,0.345,130,0.56,0.29,1.11,44.5
