"Study","logOR","SE","N","OR","CI_low","CI_high","Weight"
"Blinder 2012a",-0.139,0.247,275,0.87,0.54,1.41,38.4
"Bouknight 2006b",0.017,0.286,416,1.02,0.58,1.78,28.6
"Johnsson 2007c",-0.361,0.495,217,0.7,0.26,1.84,9.6
"Rosenberg 2019a",-0.058,0.316,772,0.94,0.51,1.75,23.4
