"Study","logOR","SE","N","OR","CI_low","CI_high","Weight"
"Blinder 2012a",-1.005,0.26,274,0.37,0.22,0.61,40
"Bouknight 2006b",-0.705,0.313,416,0.49,0.27,0.91,27.6
"Johnsson 2007c",-0.481,0.777,218,0.62,0.13,2.83,4.5
"Rosenberg 2019a",-1.076,0.311,772,0.34,0.19,0.63,27.9
