"Study","logOR","SE","N","OR","CI_low","CI_high","Weight"
"Blinder 2012a",-0.713,0.259,259,0.49,0.3,0.81,33.7
"Bouknight 2006b",-0.228,0.289,416,0.8,0.45,1.4,30.1
"Johnsson 2007c",-0.889,0.428,222,0.41,0.18,0.94,18.4
"Johnsson 2009d",-2.303,1.455,97,0.1,0.01,1.73,2.1
"Rosenberg 2019e",-1.338,0.475,772,0.26,0.1,0.67,15.7
